Processing Log - Started at 2026-01-10T17:14:49.374Z
Total documents to process: 25049
Batch size: 100
Delay between batches: 300ms


=== Batch 114/251 - Started at 2026-01-10T17:14:49.375Z ===
FAILED: paper_id: 85932333, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85985109, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85926178, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85984102, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86068137, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86053261, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86076056, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85984698, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85984870, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86045341, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86048287, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86074499, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86048220, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85989358, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86074549, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86080595, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85951721, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86066248, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86062650, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85989820, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86048055, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86076726, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85989440, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86076965, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85987949, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86080579, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85989747, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86059144, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85944874, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85989754, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86072089, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85944932, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86054640, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86074218, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85938777, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85990786, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85990711, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86090156, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86072212, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86086972, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85933778, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86076668, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86060571, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85990976, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86072691, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86076429, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86074952, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86059318, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86048279, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85939445, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85991537, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86086782, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86076692, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85992840, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86073939, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85938280, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85932929, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85932937, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85937043, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85936565, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86054814, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86072162, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85943611, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85987899, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85935120, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85988970, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85989002, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86069135, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 85988541, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86071404, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 86025921, reason: Request failed with status code 404, status: 404
