Processing Log - Started at 2026-01-11T01:59:10.682Z
Total documents to process: 25049
Batch size: 100
Delay between batches: 300ms


=== Batch 179/251 - Started at 2026-01-11T01:59:10.683Z ===
FAILED: paper_id: 70605613, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70594395, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70573001, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70558978, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70558812, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70548839, reason: Request failed with status code 404, status: 404
Batch 179 completed in 249.50s
Success: 0, Failed: 100, Skip: 0
Total so far - Success: 0, Failed: 100, Skip: 0
Waiting 300ms before next batch...

=== Batch 180/251 - Started at 2026-01-11T02:03:20.487Z ===
FAILED: paper_id: 70167128, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70165402, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70165170, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70163696, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70163464, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70162611, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70156849, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70155635, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70152601, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70152392, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70149976, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70151290, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70147397, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70142920, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70143756, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70140298, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70274098, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70273016, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70268834, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70256746, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70244652, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70244177, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70241260, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70235478, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70237433, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70220845, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70213483, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70208691, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70667688, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70639141, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70635271, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70631999, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70623632, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70621677, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70614292, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70606074, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70592191, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70591896, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70589569, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70561394, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70550926, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70168711, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70168396, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70166959, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70165150, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70162236, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70161927, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70159614, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70152160, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70151748, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70147148, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70144506, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70144357, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70143607, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70141280, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70140221, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70265731, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70265316, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70265296, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70262179, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70261924, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70261197, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70243885, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70243530, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70242946, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70235684, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70237430, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70231147, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70226550, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70225651, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70220496, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70216643, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70215959, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70212501, reason: Request failed with status code 404, status: 404
