company_id,paper_id,symbol,paper_type_he,identifier_status,identifier_reason,identifier_api,identifier_success,logo_exists,logo_status,logo_reason,logo_api,logo_success
12517466,323014,MLSR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/12517466/logos,1
2567642,328013,PRTC,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/2567642/logos,1
47585861,333013,PEN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/47585861/logos,1
946236,338012,CMER,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/946236/logos,1
20332940,341016,SADE,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20387465,350017,VISN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20387465/logos,1
5704007,351015,HOD,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5704007/logos,1
7913066,354019,TLSY,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/7913066/logos,1
650034812,363010,ARDM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/650034812/logos,1
20875964,366013,ARIN,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
430454,368019,ELWS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/430454/logos,1
20385706,371013,WLFD,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385706/logos,1
546819,373019,AURA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/546819/logos,1
9898999,384016,HAMAT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/9898999/logos,1
34869374,386011,QNCO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/34869374/logos,1
20332957,387019,ALRPR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20332957/logos,1
105785,382010,EMCO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/105785/logos,1
20360061,383018,AILN,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
1519862,390013,ALHE,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/1519862/logos,1
13714138,412015,PAYT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/13714138/logos,1
5717961,413013,AVIA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5717961/logos,1
20378609,416016,VILR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20378609/logos,1
20385437,397018,THES,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385437/logos,1
20333909,399014,BRIL,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20385114,400010,DUNI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385114/logos,1
20385395,421016,NTGR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385395/logos,1
1661557,422014,SRAC,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/1661557/logos,1
595603354,424010,BLITZ-M,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20387434,425017,SRFT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20387434/logos,1
3132632,431015,IES,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/3132632/logos,1
632064059,433011,NXTG-M,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
953566,434019,ISCN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/953566/logos,1
3597413,440016,CRMT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/3597413/logos,1
3147799,442012,CISY,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/3147799/logos,1
20333319,444018,AVIV,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20333319/logos,1
20385497,393017,RLCO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20385497/logos,1
385636,445015,MTRX,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/385636/logos,1
N/A,448019,GIBUI,מניה,FAILED,HTTP 404,,0,no,,,,
880261,454017,GAGR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/880261/logos,1
302928426,456012,UPSL,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
54033193,462010,TGTR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/54033193/logos,1
20631790,473017,LUZN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20631790/logos,1
137651185,485011,BONS,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/137651185/logos,1
427952,486027,YBOX,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/427952/logos,1
20343467,494013,MIA,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20343467/logos,1
1076825,5010129,ECP,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/1076825/logos,1
20383609,507012,CMDR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20383609/logos,1
20346310,522011,KAFR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20346310/logos,1
20358767,526012,RAVD,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20384917,530014,BIRM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20384917/logos,1
20386796,531012,BOTI,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20386796/logos,1
