Processing Log - Started at 2026-01-11T07:13:42.142Z
Total documents to process: 25049
Batch size: 100
Delay between batches: 300ms


=== Batch 228/251 - Started at 2026-01-11T07:13:42.142Z ===
FAILED: paper_id: 70523683, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70518238, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70517792, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70512405, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70511043, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70508593, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70508445, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70508429, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70506795, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70505789, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70501697, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70501424, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70497862, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70492327, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70491931, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70483433, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70477922, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70475645, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70458765, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70452941, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70449533, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70498902, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70485966, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70481205, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70479506, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70476387, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70473608, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70461439, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70455522, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70440193, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70421292, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70419791, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70417761, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70417431, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70399787, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70395488, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70396965, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70393020, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70392469, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70389655, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70388178, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70388137, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70382734, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70377874, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70372560, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70369244, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70356969, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70354014, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70353974, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70349493, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70343942, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70342100, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70339742, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70336847, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70336698, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70335658, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70322565, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70309075, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70308853, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70308085, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70307988, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70297999, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70296215, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70292487, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70289913, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70285804, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70284856, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70282132, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70270434, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70266905, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70266739, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70257050, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70256359, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70255922, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70255427, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70249487, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70244183, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70242949, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70242458, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70238704, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70235924, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70446083, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70439252, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70440805, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70427455, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70424908, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70423348, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70417704, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70398011, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70394176, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70393806, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70393798, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70388855, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70386925, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70384813, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70379482, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70378377, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70369087, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70366299, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70365549, reason: Request failed with status code 404, status: 404
Batch 228 completed in 238.87s
Success: 0, Failed: 100, Skip: 0
Total so far - Success: 0, Failed: 100, Skip: 0
Waiting 300ms before next batch...

=== Batch 229/251 - Started at 2026-01-11T07:17:41.317Z ===
FAILED: paper_id: 70522172, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70520242, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70514377, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70519186, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70518733, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70516588, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70515648, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70512777, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70512009, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70509708, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70508957, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70507793, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70709944, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70708177, reason: Request failed with status code 404, status: 404
FAILED: paper_id: 70703418, reason: Request failed with status code 404, status: 404
